title,DOI,abstract,release_date,authors,R0_sentence,R0_value,R0_location,bad,Spot check/resolve
Reconciling early-outbreak preliminary estimates of the basic reproductive number and its uncertainty: a new framework and applications to the novel coronavirus (2019-nCoV) outbreak,10.1101/2020.01.30.20019877,"A novel coronavirus (SARS-CoV-2) has recently emerged as a global threat. As the epidemic progresses, many disease modelers have focused on estimating the basic reproductive number Ro -- the average number of secondary cases caused by a primary case in an otherwise susceptible population. The modeling approaches and resulting estimates of Ro vary widely, despite relying on similar data sources. Here, we present a novel statistical framework for comparing and combining different estimates of Ro across a wide range of models by decomposing the basic reproductive number into three key quantities: the exponential growth rate $r$, the mean generation interval $\bar G$, and the generation-interval dispersion $\kappa$. We then apply our framework to early estimates of Ro for the SARS-CoV-2 outbreak. We show that many early Ro estimates are overly confident. Our results emphasize the importance of propagating uncertainties in all components of Ro, including the shape of the generation-interval distribution, in efforts to estimate Ro at the outset of an epidemic.",2/2/2020,"['Princeton University', 'McMaster University', 'University of Western Ontario', 'Georgia Institute of Technology']",,"2.5, 2.5, 2.92, 3.8, 2.2, 5.47, 2.55",,,
Real time estimation of the risk of death from novel coronavirus (2019-nCoV) infection: Inference using exported cases,10.1101/2020.01.29.20019547,"The exported cases of 2019 novel coronavirus (2019-nCoV) infection who were confirmed in other countries provide a chance to estimate the cumulative incidence and confirmed case fatality risk (cCFR) in China. Knowledge of the cCFR is critical to characterize the severity and understand pandemic potential of 2019-nCoV in the early stage of epidemic. Using the exponential growth rate of the incidence, the present study statistically estimated the cCFR and the basic reproduction number, i.e., the average number of secondary cases generated by a single primary case in a naive population. As of 24 January 2020, with 23 exported cases, and estimating the growth rate from 8 December 2019 (scenario 1) and using the data since growth of exported cases (scenario 2), the cumulative incidence in China was estimated at 5433 cases (95% confidence interval (CI): 3883, 7160) and 17780 cases (95% CI: 9646, 28724), respectively. The latest estimates of the cCFR were 4.6% (95% CI: 3.1-6.6) for scenario 1 and 7.7% (95% CI: 4.9-11.3%) for scenario 2, respectively. The basic reproduction number was estimated to be 2.2 (95% CI: 2.1, 2.3) and 3.7 (95% CI: 3.1, 4.3) for scenarios 1 and 2, respectively. Based on the results, we note that current 2019-nCoV epidemic has a substation potential to cause a pandemic. The proposed approach can provide insights into early risk assessment using only publicly available data.",2/2/2020,['Hokkaido University'],"r 𝑅0 in the range of 1.6–2.6 for Scenario 1,  2.2–4.2 for Scenario 2, Our estimated 𝑅0
range of 1.6–4.2 for COVID-19","2.1, 3.2, 2.9",,,
Forecasting the Wuhan coronavirus (2019-nCoV) epidemics using a simple (simplistic) model,10.1101/2020.02.04.20020461,"Confirmed infection cases in mainland China were analyzed using the data up to January 28, 2020 (first 13 days of reliable confirmed cases). For the first period the cumulative number of cases followed an exponential function. However, from January 28, we discerned a downward deviation from the exponential growth. This slower-than-exponential growth was also confirmed by a steady decline of the effective reproduction number. A backtrend analysis suggested the original basic reproduction number R0 to be about 2.4 to 2.5. As data become available, we subsequently analyzed them during three consecutive periods obtaining a sequence of model predictions. All available data up were processed the same way. We used a simple logistic growth model that fitted very well with all data. Using this model and the three sets of data, we estimated maximum cases as about 21,000, 28,000 and 35,000 cases refining these predictions in near-real time. With slightly different approach (linearization in time) the estimate of maximum cases was even higher (about 65,000). Although the estimates of maximum cases increase as more data were reported all models show reaching a peak in mid-February in contrast to the unconfined exponential growth. These predictions do not account for any possible other secondary sources of infection.",2/5/2020,['University of California Berkeley'],A backtrend analysis suggested the original basic reproduction number R0 to be about 2.4 to 2.5.,2.45,,,
Risk assessment of novel coronavirus 2019-nCoVoutbreaks outside China,10.1101/2020.02.04.20020503,"We developed a computational tool to assess the risk of novel coronavirus outbreaks outside China. We estimate the dependence of the risk of a major outbreak in a country from imported cases on key parameters such as: (i) the evolution of the cumulative number of cases in mainland China outside the closed areas; (ii) the connectivity of the destination country with China, including baseline travel frequencies, the effect of travel restrictions, and the efficacy of entry screening at destination; (iii) the efficacy of control measures in the destination country (expressed by the local reproduction number Rloc). We found that in countries with low connectivity to China but with relatively high Rloc, the most beneficial control measure to reduce the risk of outbreaks is a further reduction in their importation number either by entry screening or travel restrictions. Countries with high connectivity but low Rloc benefit the most from policies that further reduce Rloc. Countries in the middle should consider a combination of such policies. Risk assessments were illustrated for selected groups of countries from America, Asia and Europe, and we investigated how their risks depend on those parameters, and how the risk is increasing in time as the number of cases in China is growing.",2/5/2020,['University of Szeged'],,"2.6, 2.2, 2.9, 2.56, 3.11, 2.5, 2.2, 2.6, 4.71, 2.08, 2.68",,,
Incorporating Human Movement Data to Improve Epidemiological Estimates for 2019-nCoV,10.1101/2020.02.07.20021071,"Estimating the key epidemiological features of the novel coronavirus (2019-nCoV) epidemic proves to be challenging, given incompleteness and delays in early data reporting, in particular, the severe under-reporting bias in the epicenter, Wuhan, Hubei Province, China. As a result, the current literature reports widely varying estimates. We developed an alternative geo-stratified debiasing estimation framework by incorporating human mobility with case reporting data in three stratified zones, i.e., Wuhan, Hubei Province excluding Wuhan, and mainland China excluding Hubei. We estimated the latent infection ratio to be around 0.12% (18,556 people) and the basic reproduction number to be 3.24 in Wuhan before the city's lockdown on January 23, 2020. The findings based on this debiasing framework have important implications to prioritization of control and prevention efforts.",2/9/2020,"['Institute of Automation, Chinese Academy of Sciences', 'City University of Hong Kong', 'National University of Defense Technology', 'Chinese Academy of Sciences', 'Chinese PLA Center for Disease Control and Prevention', 'Institute of Geographical Sciences and Natural Resources Research, Chinese Academy of Sciences', 'Peking University']",R0 for 2019-nCoV. Our R0 estimate is 3.24,3.24,,,
Feasibility of controlling 2019-nCoV outbreaks by isolation of cases and contacts,10.1101/2020.02.08.20021162,"Background: To assess the viability of isolation and contact tracing to control onwards transmission from imported cases of 2019-nCoV. Methods: We developed a stochastic transmission model, parameterised to the 2019-nCoV outbreak. We used the model to quantify the potential effectiveness of contact tracing and isolation of cases at controlling a 2019 nCoV-like pathogen. We considered scenarios that varied in: the number of initial cases; the basic reproduction number R0; the delay from symptom onset to isolation; the probability contacts were traced; the proportion of transmission that occurred before symptom onset, and the proportion of subclinical infections. We assumed isolation prevented all further transmission in the model. Outbreaks were deemed controlled if transmission ended within 12 weeks or before 5000 cases in total. We measured the success of controlling outbreaks using isolation and contact tracing, and quantified the weekly maximum number of cases traced to measure feasibility of public health effort. Findings: While simulated outbreaks starting with only 5 initial cases, R0 of 1.5 and little transmission before symptom onset could be controlled even with low contact tracing probability, the prospects of controlling an outbreak dramatically dropped with the number of initial cases, with higher R0, and with more transmission before symptom onset. Across different initial numbers of cases, the majority of scenarios with an R0 of 1.5 were controllable with under 50% of contacts successfully traced. For R0 of 2.5 and 3.5, more than 70% and 90% of contacts respectively had to be traced to control the majority of outbreaks. The delay between symptom onset and isolation played the largest role in determining whether an outbreak was controllable for lower values of R0. For higher values of R0 and a large initial number of cases, contact tracing and isolation was only potentially feasible when less than 1% of transmission occurred before symptom onset. Interpretation: We found that in most scenarios contact tracing and case isolation alone is unlikely to control a new outbreak of 2019-nCov within three months. The probability of control decreases with longer delays from symptom onset to isolation, fewer cases ascertained by contact tracing, and increasing transmission before symptoms. This model can be modified to reflect updated transmission characteristics and more specific definitions of outbreak control to assess the potential success of local response efforts.",2/11/2020,"['LSHTM', 'London School of Hygiene & Tropical Medicine']","R0 of 1.5 and little transmission before symptom onset,  For R0 of 2.5 and 3.5, more than
70% and 90% of contacts respectively had to be traced","1.5, 2.5, 3.5",,,
The effect of travel restrictions on the spread of the 2019 novel coronavirus (2019-nCoV) outbreak,10.1101/2020.02.09.20021261,"Motivated by the rapid spread of a novel coronavirus (2019-nCoV) in Mainland China, we use a global metapopulation disease transmission model to project the impact of both domestic and international travel limitations on the national and international spread of the epidemic. The model is calibrated on the evidence of internationally imported cases before the implementation of the travel quarantine of Wuhan. By assuming a generation time of 7.5 days, the reproduction number is estimated to be 2.4 [90% CI 2.2-2.6]. The median estimate for number of cases before the travel ban implementation on January 23, 2020 is 58,956 [90% CI 40,759 - 87,471] in Wuhan and 3,491 [90% CI 1,924 - 7,360] in other locations in Mainland China. The model shows that as of January 23, most Chinese cities had already received a considerable number of infected cases, and the travel quarantine delays the overall epidemic progression by only 3 to 5 days. The travel quarantine has a more marked effect at the international scale, where we estimate the number of case importations to be reduced by 80% until the end of February. Modeling results also indicate that sustained 90% travel restrictions to and from Mainland China only modestly affect the epidemic trajectory unless combined with a 50% or higher reduction of transmission in the community.",2/11/2020,"['Laboratory for the Modeling of Biological and Socio-technical Systems, Northeastern University, Boston, MA, USA', 'Bruno Kessler Foundation, Trento, Italy', 'ISI Foundation, Turin, Italy', 'Fogarty International Center, NIH, USA', 'School of Public Health, Fudan University, Key Laboratory of Public Health Safety, Ministry of Education, Shanghai, China', 'Fred Hutchinson Cancer Research Center, Seattle, WA, USA; Department of Biostatistics, University of Washington, Seattle, WA', 'Department of Biostatistics, College of Public Health and Health Professions, University of Florida, Gainesville, USA', 'Laboratory for the Modeling of Biological and Socio-technical Systems, Northeastern University, Boston, MA, USA; ISI Foundation, Turin, Italy']",The obtained posterior distribution provides an average reproductive number R0= 2.4,2.4,,,
The lockdown of Hubei Province causing different transmission dynamics of the novel coronavirus (2019-nCoV) in Wuhan and Beijing,10.1101/2020.02.09.20021477,"Background: After the outbreak of novel coronavirus (2019-nCoV) starting in late 2019, a number of researchers have reported the predicted the virus transmission dynamics. However, under the strict control policy the novel coronavirus does not spread naturally outside Hubei Province, and none of the prediction closes to the real situation. Methods and findings: We used the traditional SEIR model, fully estimated the effect of control measures, to predict the virus transmission in Wuhan, the capital city of Hubei Province, and Beijing. We forecast that the outbreak of 2019-nCoV would reach its peak around March 6{+/-}10 in Wuhan and March 20{+/-}16 in Beijing, respectively. The infectious population in Beijing would be much less (only 0.3%) than those in Wuhan at the peak of this transmission wave. The number of confirmed cases in cities inside Hubei Province grow exponentially, whereas those in cities outside the province increase linearly. Conclusions: The unprecedented province lockdown substantially suspends the national and global outbreak of 2019-nCoV.",2/11/2020,"['Institute of Zoology, Chinese Academy of Sciences', 'Lanzhou University']",Table 1. The estimated basic reproductive number R0 for 2019-nCoV,"2.8, 2.68, 2.24, 3.58, 2.90, 2.92, 6.47",,,
"The Novel Coronavirus, 2019-nCoV, is Highly Contagious and More Infectious Than Initially Estimated",10.1101/2020.02.07.20021154,"The novel coronavirus (2019-nCoV) is a recently emerged human pathogen that has spread widely since January 2020. Initially, the basic reproductive number, R0, was estimated to be 2.2 to 2.7. Here we provide a new estimate of this quantity. We collected extensive individual case reports and estimated key epidemiology parameters, including the incubation period. Integrating these estimates and high-resolution real-time human travel and infection data with mathematical models, we estimated that the number of infected individuals during early epidemic double every 2.4 days, and the R0 value is likely to be between 4.7 and 6.6. We further show that quarantine and contact tracing of symptomatic individuals alone may not be effective and early, strong control measures are needed to stop transmission of the virus.",2/11/2020,['Los Alamos National Laboratory'],"Initially, the basic reproductive number, R0, was estimated to be 2.2 to 2.7.",2.45,,,
Simulating the infected population and spread trend of 2019-nCov under different policy by EIR model,10.1101/2020.02.10.20021519,"Chinese government has taken strong measures in response to the epidemic of new coronavirus (2019-nCoV) from Jan.23, 2020. The number of confirmed infected individuals are still increasing rapidly. Estimating the accurate infected population and the future trend of epidemic spreading under control measures is significant and urgent. There have been reports external icon of spread from an infected patient with no symptoms to a close contact, which means the incubation individuals may has the possibility of infectiousness. However, the traditional transmission model, Susceptible-Exposed-Infectious-Recovered (SEIR) model, assumes that the exposed individual is being infected but without infectiousness. Thus, the estimating infected populations based on SEIR model from the existing literatures seems too far more than the official reported data. Here, we inferred that the epidemic could be spread by exposed (incubation) individuals. Then, we provide a new Exposed-identified-Recovered (EIR) model, and simulated the epidemic spreading processes from free propagation phase to extremely control phase. Then, we estimate of the size of the epidemic and forecast the future development of the epidemics under strong prevention interventions. According to the spread characters of 2019-nCov, we construct a novel EIR compartment system dynamics model. This model integrates two phases of the epidemic spreading: before intervention and after intervention. We assume that 2019-nCov is firstly spread without intervention then the government started to take strong quarantine measures. Use the latest reported official data, we estimate the basic parameters of the model and the basic reproduction number of 2019-nCov. Then, based on this model, we simulate the future spread of the epidemics. Both the infected population and the spreading trend of 2019-nCov under different prevention policy scenarios are estimated. The epidemic spreading trends under different quarantine rate and action starting date of prevention policy are simulated and compared.",2/12/2020,['Hainan University'],the basic reproduction number R0 = k*b*TE=2.7,2.7,,,
